0.01, 169.70000, -44.07000, 169.62300, -44.21300, 0.37718, 90.00000
0.02, 169.62300, -44.21300, 169.61300, -44.29800, 0.37067, 90.00000
0.03, 169.61300, -44.29800, 169.69200, -44.44500, 0.11913, 90.00000
1.01, 175.43700, -40.69200, 175.33300, -40.80000, 0.12054, 45.00000
1.02, 175.33300, -40.80000, 175.22500, -40.88300, 0.31653, 45.00000
1.03, 175.22500, -40.88300, 175.15000, -40.98300, 0.17272, 45.00000
1.04, 175.15000, -40.98300, 175.09800, -41.05800, 0.35685, 45.00000
1.05, 175.09800, -41.05800, 175.04200, -41.12200, 0.19183, 45.00000
2.01, 170.36300, -45.94700, 170.29000, -45.98500, 0.20886, 90.00000
2.02, 170.29000, -45.98500, 170.18200, -46.09200, 0.16173, 90.00000
2.03, 170.18200, -46.09200, 170.17800, -46.10500, 0.16505, 90.00000
2.04, 170.17800, -46.10500, 170.10300, -46.16700, 0.19407, 90.00000
2.05, 170.10300, -46.16700, 170.06200, -46.20500, 0.29276, 90.00000
2.06, 170.06200, -46.20500, 170.03500, -46.21200, 0.29738, 90.00000
2.07, 170.03500, -46.21200, 170.02700, -46.23500, 0.14773, 90.00000
2.08, 170.02700, -46.23500, 169.96800, -46.29200, 0.19643, 90.00000
2.09, 169.96800, -46.29200, 169.96300, -46.35500, 0.16353, 90.00000
2.10, 169.96300, -46.35500, 169.99500, -46.42000, 0.04430, 90.00000
3.01, 170.80800, -44.19800, 170.76100, -44.11600, 0.39343, 90.00000
3.02, 170.76100, -44.11600, 170.71300, -44.03300, 0.24659, 90.00000
4.01, 176.44800, -36.98000, 176.43400, -37.02200, 0.19105, -90.00000
4.02, 176.43400, -37.02200, 176.42000, -37.06500, 0.38936, -90.00000
5.01, 176.45700, -36.95300, 176.40000, -37.00900, 0.28169, -90.00000
5.02, 176.40000, -37.00900, 176.34300, -37.06500, 0.20543, -90.00000
6.01, 176.53300, -36.93800, 176.50500, -36.99300, 0.15579, -90.00000
6.02, 176.50500, -36.99300, 176.47700, -37.04800, 0.18397, -90.00000
7.01, 176.63300, -36.84300, 176.59400, -36.90400, 0.09835, -90.00000
7.02, 176.59400, -36.90400, 176.55500, -36.96500, 0.22704, -90.00000
8.01, 176.54800, -36.88300, 176.51000, -36.91300, 0.38385, -90.00000
8.02, 176.51000, -36.91300, 176.47200, -36.94300, 0.09106, -90.00000
9.01, 176.71000, -36.76000, 176.63000, -36.81700, 0.31268, -90.00000
9.02, 176.63000, -36.81700, 176.55000, -36.87500, 0.33820, -90.00000
10.01, 176.21300, -37.19700, 176.30700, -37.15300, 0.36516, -90.00000
10.02, 176.30700, -37.15300, 176.40000, -37.10800, 0.25965, -90.00000
11.01, 176.28200, -37.09300, 176.31000, -37.01400, 0.24557, -90.00000
11.02, 176.31000, -37.01400, 176.33800, -36.93500, 0.31359, -90.00000
12.01, 176.33500, -36.98700, 176.35700, -36.92200, 0.12377, -90.00000
12.02, 176.35700, -36.92200, 176.39000, -36.85500, 0.02313, -90.00000
13.01, 176.40500, -36.87800, 176.48000, -36.86000, 0.12200, -90.00000
